# name, description, unit, type
ant1_activity, Combined state of the antenna proxy, , discrete
ant4_pos_request_pointm_azim, Requested azimuth after pointing model, deg, float
ant4_pos_request_pointm_elev, Requested elevation after pointing, deg, float
ant4_pos_request_refrac_azim, Requested azimuth after refraction, deg, float
ant4_pos_request_refrac_elev, Requested elevation after refraction, deg, float
ant4_pos_request_scan_azim, Requested azimuth after scan offset, deg, float
ant4_pos_request_scan_elev, Requested elevation after scan offset, deg, float
ant4_rfe3_rfe15_noise_coupler_on, RFE Stage 1.5 coupler diode on, , boolean
ant4_rfe3_rfe15_noise_pin_on, RFE Stage 1.5 pin diode on, , boolean
ant4_rfe5_attenuator_horizontal, Horizontal attenuation level, dBm, float
ant4_rfe5_attenuator_vertical, Vertical attenuation level, dBm, float
ant4_target, Current target, , string
ant5_activity, Combined state of the antenna proxy, , discrete
ant5_pos_actual_pointm_azim, Actual azimuth after pointing model, deg, float
ant5_pos_actual_pointm_elev, Actual elevation after pointing model, deg, float
ant5_pos_actual_refrac_azim, Actual azimuth after refraction, deg, float
ant5_pos_actual_refrac_elev, Actual elevation after refraction, deg, float
ant5_pos_actual_scan_azim, Actual azimuth after scan offset, deg, float
ant5_pos_actual_scan_elev, Actual elevation after scan offset, deg, float
ant5_pos_request_pointm_azim, Requested azimuth after pointing model, deg, float
ant5_pos_request_pointm_elev, Requested elevation after pointing, deg, float
ant5_pos_request_refrac_azim, Requested azimuth after refraction, deg, float
ant5_pos_request_refrac_elev, Requested elevation after refraction, deg, float
ant5_pos_request_scan_azim, Requested azimuth after scan offset, deg, float
ant5_pos_request_scan_elev, Requested elevation after scan offset, deg, float
ant5_rfe3_rfe15_noise_coupler_on, RFE Stage 1.5 coupler diode on, , boolean
ant5_rfe3_rfe15_noise_pin_on, RFE Stage 1.5 pin diode on, , boolean
ant5_rfe5_attenuator_horizontal, Horizontal attenuation level, dBm, float
ant5_rfe5_attenuator_vertical, Vertical attenuation level, dBm, float
ant5_target, Current target, , string
ant6_activity, Combined state of the antenna proxy, , discrete
ant6_pos_actual_pointm_azim, Actual azimuth after pointing model, deg, float
ant6_pos_actual_pointm_elev, Actual elevation after pointing model, deg, float
ant6_pos_actual_refrac_azim, Actual azimuth after refraction, deg, float
ant6_pos_actual_refrac_elev, Actual elevation after refraction, deg, float
ant6_pos_actual_scan_azim, Actual azimuth after scan offset, deg, float
ant6_pos_actual_scan_elev, Actual elevation after scan offset, deg, float
ant6_pos_request_pointm_azim, Requested azimuth after pointing model, deg, float
ant6_pos_request_pointm_elev, Requested elevation after pointing, deg, float
ant6_pos_request_refrac_azim, Requested azimuth after refraction, deg, float
ant6_pos_request_refrac_elev, Requested elevation after refraction, deg, float
ant6_pos_request_scan_azim, Requested azimuth after scan offset, deg, float
ant6_pos_request_scan_elev, Requested elevation after scan offset, deg, float
ant6_rfe3_rfe15_noise_coupler_on, RFE Stage 1.5 coupler diode on, , boolean
ant6_rfe3_rfe15_noise_pin_on, RFE Stage 1.5 pin diode on, , boolean
ant6_rfe5_attenuator_horizontal, Horizontal attenuation level, dBm, float
ant6_rfe5_attenuator_vertical, Vertical attenuation level, dBm, float
ant6_target, Current target, , string
ant7_activity, Combined state of the antenna proxy, , discrete
ant7_pos_actual_pointm_azim, Actual azimuth after pointing model, deg, float
ant7_pos_actual_pointm_elev, Actual elevation after pointing model, deg, float
ant7_pos_actual_refrac_azim, Actual azimuth after refraction, deg, float
ant7_pos_actual_refrac_elev, Actual elevation after refraction, deg, float
ant7_pos_actual_scan_azim, Actual azimuth after scan offset, deg, float
ant7_pos_actual_scan_elev, Actual elevation after scan offset, deg, float
ant7_pos_request_pointm_azim, Requested azimuth after pointing model, deg, float
ant7_pos_request_pointm_elev, Requested elevation after pointing, deg, float
ant7_pos_request_refrac_azim, Requested azimuth after refraction, deg, float
ant7_pos_request_refrac_elev, Requested elevation after refraction, deg, float
ant7_pos_request_scan_azim, Requested azimuth after scan offset, deg, float
ant7_pos_request_scan_elev, Requested elevation after scan offset, deg, float
ant7_rfe3_rfe15_noise_coupler_on, RFE Stage 1.5 coupler diode on, , boolean
ant7_rfe3_rfe15_noise_pin_on, RFE Stage 1.5 pin diode on, , boolean
ant7_rfe5_attenuator_horizontal, Horizontal attenuation level, dBm, float
ant7_rfe5_attenuator_vertical, Vertical attenuation level, dBm, float
ant7_target, Current target, , string
dbe7_auto_delay, Whether automatic delay parameter sending is on., , boolean
dbe7_dbe_centerfrequency, current center frequency, Hz, integer
dbe7_dbe_mode, current mode, none, discrete
dbe7_target, Current target, , string
anc_asc_air_pressure, Air pressure, mbar, float
anc_asc_air_relative_humidity, Relative humidity, percent, float
anc_asc_air_temperature, Air temperature, degC, float
anc_asc_wind_direction, Wind direction angle, deg, float
anc_asc_wind_speed, Wind speed, m/s, float
rfe7_rfe7_downconverter_ant1_h_attenuation, Downconverter signal attenuation of h-polarization downconverter for antenna 1, dB, float
rfe7_rfe7_downconverter_ant1_v_attenuation, Downconverter signal attenuation of v-polarization downconverter for antenna 1, dB, float
rfe7_rfe7_downconverter_ant2_h_attenuation, Downconverter signal attenuation of h-polarization downconverter for antenna 2, dB, float
rfe7_rfe7_downconverter_ant2_v_attenuation, Downconverter signal attenuation of v-polarization downconverter for antenna 2, dB, float
rfe7_rfe7_downconverter_ant3_h_attenuation, Downconverter signal attenuation of h-polarization downconverter for antenna 2, dB, float
rfe7_rfe7_downconverter_ant3_v_attenuation, Downconverter signal attenuation of v-polarization downconverter for antenna 2, dB, float
rfe7_rfe7_downconverter_ant4_h_attenuation, Downconverter signal attenuation of h-polarization downconverter for antenna 2, dB, float
rfe7_rfe7_downconverter_ant4_v_attenuation, Downconverter signal attenuation of v-polarization downconverter for antenna 2, dB, float
rfe7_rfe7_downconverter_ant5_h_attenuation, Downconverter signal attenuation of h-polarization downconverter for antenna 2, dB, float
rfe7_rfe7_downconverter_ant5_v_attenuation, Downconverter signal attenuation of v-polarization downconverter for antenna 2, dB, float
rfe7_rfe7_downconverter_ant6_h_attenuation, Downconverter signal attenuation of h-polarization downconverter for antenna 2, dB, float
rfe7_rfe7_downconverter_ant6_v_attenuation, Downconverter signal attenuation of v-polarization downconverter for antenna 2, dB, float
rfe7_rfe7_downconverter_ant7_h_attenuation, Downconverter signal attenuation of h-polarization downconverter for antenna 2, dB, float
rfe7_rfe7_downconverter_ant7_v_attenuation, Downconverter signal attenuation of v-polarization downconverter for antenna 2, dB, float
rfe7_rfe7_lo1_frequency, Local-oscillator-1 centre frequency sensor, Hz, float
